WTG,Alt.,Lat.,Long.
TOR,41.5,-4.19,-38.08
W01,33.9,-4.185,-38.084
W02,32.5,-4.183,-38.086
W03,42.6,-4.183,-38.088
W04,42.1,-4.184,-38.087
W05,42.8,-4.184,-38.089
W06,50,-4.185,-38.087
W07,34.7,-4.186,-38.083
W08,36.4,-4.187,-38.088
W09,34.7,-4.187,-38.083
W10,31.6,-4.184,-38.085
W11,43.8,-4.189,-38.083
W12,42.6,-4.19,-38.082
W13,37.2,-4.191,-38.081
W14,43.5,-4.191,-38.08
W15,43.9,-4.192,-38.079
W16,42.2,-4.193,-38.078
W17,40.9,-4.194,-38.077
W18,38,-4.195,-38.076
W19,35.4,-4.196,-38.076
W20,38.8,-4.197,-38.075
W21,46.6,-4.198,-38.074
W22,45.1,-4.199,-38.072
W23,54.7,-4.2,-38.073
W24,50.5,-4.201,-38.073
W25,30,-4.21,-38.067
W26,44.2,-4.203,-38.073
W27,44.9,-4.204,-38.07
W28,47,-4.205,-38.07
W29,43.4,-4.206,-38.07
W30,41.9,-4.207,-38.069
W31,45.7,-4.208,-38.069
W32,40.8,-4.209,-38.068
