,10.0,40.0,60.0,80.0,100.0
2013-08-01 00:00:00,,,129.7,110.8,113.0
2013-08-01 00:10:00,,,111.9,113.0,115.5
2013-08-01 00:20:00,,,116.3,110.2,112.2
2013-08-01 00:30:00,,,115.2,112.6,115.9
2013-08-01 00:40:00,,,118.4,116.6,118.8
2013-08-01 00:50:00,,,115.6,113.5,115.6
2013-08-01 01:00:00,,,110.9,107.9,110.7
2013-08-01 01:10:00,,,110.2,112.2,114.5
2013-08-01 01:20:00,,,114.7,113.7,116.3
2013-08-01 01:30:00,,,117.0,114.0,116.8
2013-08-01 01:40:00,,,143.1,111.7,113.8
2013-08-01 01:50:00,,,120.2,116.3,118.6
2013-08-01 02:00:00,,,111.3,116.1,118.3
2013-08-01 02:10:00,,,119.3,117.5,120.2
2013-08-01 02:20:00,,,114.2,117.5,120.9
2013-08-01 02:30:00,,,107.5,115.6,118.7
2013-08-01 02:40:00,,,121.1,118.5,121.9
2013-08-01 02:50:00,,,115.2,120.1,122.9
2013-08-01 03:00:00,,,115.4,119.2,122.6
2013-08-01 03:10:00,,,119.2,116.9,120.6
2013-08-01 03:20:00,,,120.0,120.4,123.5
2013-08-01 03:30:00,,,107.5,120.8,123.8
2013-08-01 03:40:00,,,118.0,122.5,125.6
2013-08-01 03:50:00,,,114.7,124.9,126.1
2013-08-01 04:00:00,,,117.1,129.6,128.0
2013-08-01 04:10:00,,,118.3,135.4,129.5
2013-08-01 04:20:00,,,118.8,135.3,130.3
2013-08-01 04:30:00,,,124.9,137.2,134.2
2013-08-01 04:40:00,,,129.4,146.4,143.7
2013-08-01 04:50:00,,,113.4,151.8,141.8
2013-08-01 05:00:00,,,123.3,154.1,143.1
2013-08-01 05:10:00,,,162.8,163.4,144.2
2013-08-01 05:20:00,,,191.4,176.5,151.2
2013-08-01 05:30:00,,,172.2,177.6,152.1
2013-08-01 05:40:00,,,179.4,182.1,158.2
2013-08-01 05:50:00,,,178.7,178.6,156.7
2013-08-01 06:00:00,,,183.6,179.5,154.9
2013-08-01 06:10:00,,,169.1,173.9,150.6
2013-08-01 06:20:00,,,173.6,166.5,145.1
2013-08-01 06:30:00,,,174.6,168.7,148.7
